uuid,votes_correct,unanimous,majority_correct,confidence_mean,confidence_std,confidence_min,confidence_max
f960a5cd-73a8-4d99-5df4-a17c613bdab2,3,True,True,1.0,0.0,1.0,1.0
dabd231b-e354-4b64-6d85-802e151d7bd9,3,True,True,1.0,0.0,1.0,1.0
ab2ba647-170b-4a86-2eba-16d600a7c759,3,True,True,1.0,0.0,1.0,1.0
231512c2-8afb-409f-1589-a0d58d4c70d6,0,True,False,0.9,0.0,0.9,0.9
e5c6a2d9-c357-4671-7a3e-fe3dcfa152ce,3,True,True,1.0,0.0,1.0,1.0
aad9b316-efe2-4679-db70-1b2a24250dbc,0,True,False,0.9666666666666667,0.04714045207910316,0.9,1.0
30e55530-9d77-42a2-5f37-603c3921831d,3,True,True,0.9666666666666667,0.04714045207910316,0.9,1.0
d13af155-857e-4e99-d735-6c8018f3ca03,3,True,True,1.0,0.0,1.0,1.0
cfe116ef-df81-4065-07d7-1d3b0e36ef92,3,True,True,0.9666666666666667,0.04714045207910316,0.9,1.0
9ee36527-d717-4536-3337-d0ee137af62a,3,True,True,1.0,0.0,1.0,1.0
1363aabc-a823-4469-00b7-020635f9d190,3,True,True,1.0,0.0,1.0,1.0
fa200bc0-a4a6-4413-de72-9458caeef46a,3,True,True,1.0,0.0,1.0,1.0
e9c3e428-1ed2-47fe-d504-296294a7ad91,0,True,False,0.9,0.0,0.9,0.9
1a1d8148-f382-444e-8eb7-e5573e0c326f,0,True,False,0.9,0.0,0.9,0.9
498774ef-4026-4d3c-9cfa-2cb579d5a19e,2,False,True,0.9333333333333332,0.04714045207910316,0.9,1.0
b6d38eec-e1ab-423e-72b7-eb5bb369e7d5,0,True,False,0.9500000000000001,0.04082482904638629,0.9,1.0
b843bdcb-4e27-43a2-39cc-59187842dcd1,3,True,True,1.0,0.0,1.0,1.0
03622a9d-863d-492c-8a56-4c63818ba2d1,3,True,True,1.0,0.0,1.0,1.0
72c4bf67-90e9-4f1f-1c81-867b89a96b8c,0,True,False,0.9,0.0,0.9,0.9
f3c9b5bb-0b3e-44c4-03bd-e0e4e7953f6b,3,True,True,0.9666666666666667,0.04714045207910316,0.9,1.0
85c860d3-813b-43d5-67fb-d2be484502f9,3,True,True,0.9333333333333332,0.04714045207910316,0.9,1.0
100225e6-fe7b-4966-a456-4943327c0089,3,True,True,1.0,0.0,1.0,1.0
8a426928-2d2a-4d88-4b44-8f1574d4736b,3,True,True,1.0,0.0,1.0,1.0
73ffe95d-9c98-4ae4-ef68-d6a44a3fddc6,0,True,False,1.0,0.0,1.0,1.0
fecc43fe-02a5-48a6-f74c-d538f920b84d,3,True,True,0.9833333333333334,0.023570226039551605,0.95,1.0
33db6200-efbd-4473-4435-587c6d42796e,3,True,True,0.9933333333333333,0.009428090415820642,0.98,1.0
c23b3786-9011-45d3-daeb-92eca2f26207,3,True,True,0.9333333333333332,0.04714045207910316,0.9,1.0
4b3eee1b-80d1-4e74-1361-6c51a91cbb6f,3,True,True,1.0,0.0,1.0,1.0
7c01a2b3-d7ce-43ee-bbca-3f3507eff5e9,3,True,True,0.9,0.0,0.9,0.9
499b260f-e62d-4843-d2e6-84a033084509,3,True,True,0.9,0.0,0.9,0.9
eb027418-776a-41d0-46bc-92e0ebb3e8ec,0,True,False,0.9166666666666666,0.023570226039551553,0.9,0.95
4c0aa4ae-c384-43a9-cc4a-147d765d1be5,3,True,True,0.9933333333333333,0.009428090415820642,0.98,1.0
ccfb9ec9-e8cc-4cf3-ec0d-f4a1a04d6377,3,True,True,1.0,0.0,1.0,1.0
d8e50d8f-7554-42b3-f0f7-ccc9195ce13a,3,True,True,0.9,0.0,0.9,0.9
